"Calabaza", 12.63, 936
"Tomate", 739.99, 819
"Cebolla", 58.47, 832
"Limon", 339.48, 756
"Pera", 143.86, 810
"Alcachofa", 134.80, 357
"Higo", 2449.57, 96
"Zanahoria", 43.59, 540
"Mandarina", 14.82, 1040
"Palta", 509.65, 575
"Apio", 65.34, 324
"Frambuesa", 2044.32, 120
"Lima", 1186.92, 178
"Mandarina", 18.64, 1170
"Ciruela", 936.90, 882
"Pepino", 29.46, 445
"Manzana", 154.16, 1080
"Durazno", 147.93, 696
"Pomelo", 51.10, 819
"Durazno", 148.39, 808
"Cebolla", 63.41, 744
"Durazno", 183.21, 704
"Lechuga", 35.36, 927
"TomCherry", 549.59, 238
"Pera", 159.12, 800
"Calabaza", 24.72, 832
"Choclo", 68.28, 294
"Lima", 1257.70, 224
"Mandarina", 16.84, 810
"Mandarina", 27.99, 1200
"Mandarina", 22.59, 1140
"Zanahoria", 30.48, 690
"Durazno", 147.30, 872
"Morrón", 3005.50, 618
"Berenjena", 44.81, 582
"Durazno", 151.68, 936
"Apio", 55.13, 315
"Naranja", 13.16, 830
"Champignon", 3671.12, 107
"Acelga", 23.26, 1053
"Naranja", 21.61, 1040
"Palta", 461.24, 520
"Melón", 111.85, 420
"Zuccini", 91.02, 516
"Repollo", 5.52, 735
"Cebolla", 64.36, 928
"Acelga", 28.24, 1026
"Manzana", 137.27, 1100
"Limon", 324.04, 637
"Sandía", 58.69, 873
"Batata", 28.86, 1030
"Manzana", 157.49, 1170
"Tomate", 756.86, 819
"Coliflor", 30.99, 580
"Apio", 69.93, 282
"Durazno", 138.72, 856
"Cebolla", 68.97, 848
"Kinoto", 35.20, 172
"Pomelo", 34.61, 1035
"Durazno", 153.64, 904
"Durazno", 191.94, 736
"Champignon", 3562.28, 104
"Uva", 689.97, 243
"Palta", 447.65, 475
"Espárrago", 673.99, 186
"Kiwi", 426.71, 472
"Zanahoria", 49.57, 594
"Lima", 1186.12, 230
"Berenjena", 53.84, 678
"Lima", 1263.33, 240
"Calabaza", 20.06, 872
"Pomelo", 52.69, 729
"Acelga", 19.62, 765
"Uva", 731.38, 339
"Palta", 1153.78, 420
"Lechuga", 37.37, 765
"Brócoli", 323.01, 348
"Alcachofa", 142.92, 246
"Manzana", 138.00, 1010
"Caqui", 862.54, 102
"Papa", 13.14, 1040
"Tomate", 735.61, 837
"Naranja", 14.84, 880
"Melón", 106.07, 320
"Kinoto", 29.71, 214
"TomCherry", 515.90, 222
"Champignon", 3672.81, 85
"Pepino", 31.40, 545
"Melón", 90.37, 336
"Pepino", 48.57, 430
"Mandarina", 21.04, 1110
"Durazno", 246.84, 648
"Ciruela", 927.26, 810
"Sandía", 66.26, 846
"Berenjena", 55.26, 546
"Alcachofa", 135.38, 276
"Cebolla", 69.53, 744
"Pera", 153.22, 1050
"Calabaza", 19.50, 856
"Melón", 102.68, 432
"Zanahoria", 32.37, 582
"Lima", 1025.10, 222
"Brócoli", 346.55, 360
"Pepino", 42.08, 410
"Espárrago", 650.30, 162
"Kiwi", 439.05, 444
"Cebolla", 56.00, 920
"Lima", 1017.53, 216
"Palta", 496.52, 595
"Brócoli", 366.37, 436
"TomCherry", 583.05, 192
"Tomate", 751.57, 810
"Limon", 345.91, 826
"Palta", 486.80, 470
"Uva", 705.59, 315
"Ajo", 859.71, 110
"Acelga", 27.89, 1062
"Ajo", 940.19, 113
"Mandarina", 17.56, 1060
"Repollo", 6.52, 812
"Papa", 13.07, 860
"Cereza", 1040.91, 174
"Papa", 14.90, 990
"Durazno", 273.82, 896
"Naranja", 10.91, 900
"Mandarina", 18.53, 810
"Caqui", 852.99, 120
"Berenjena", 62.61, 522
"Naranja", 15.50, 1080
"Zuccini", 72.26, 504
"Apio", 53.08, 252
"Batata", 20.96, 950
"Papa", 10.64, 920
"Pera", 154.68, 820
"Kinoto", 37.08, 166
"Mandarina", 17.91, 1100
"Berenjena", 76.52, 708
"Pepino", 35.35, 440
"Alcachofa", 160.76, 336
"Zanahoria", 34.41, 588
"Pepino", 45.14, 510
"Tomate", 756.75, 1062
"Pomelo", 38.36, 1053
"Uva", 742.61, 297
"Uva", 749.61, 264
"Limon", 335.69, 812
"Lechuga", 27.29, 873
"Banana", 57.04, 920
"Coliflor", 15.26, 500
"Banana", 70.73, 940
"Palta", 507.69, 565
"Kinoto", 25.31, 184
"Choclo", 57.16, 345
"Lima", 1175.76, 188
"Melón", 100.75, 344
"Lima", 1336.51, 200
"Durazno", 146.43, 728
"Cebolla", 66.68, 848
"Naranja", 9.20, 1190
"Tomate", 767.53, 981
"Higo", 2492.96, 90
"Melón", 104.31, 336
"Pera", 149.05, 940
"Zuccini", 86.75, 648
"Limon", 336.35, 770
"Lima", 1023.58, 188
"Zanahoria", 31.47, 696
"Manzana", 113.58, 820
"Rabanito", 206.12, 351
"Kiwi", 434.05, 416
"Zuccini", 87.36, 696
"Acelga", 19.15, 936
"Acelga", 12.61, 936
"Lima", 1425.15, 220
"Lima", 1369.20, 172
"Repollo", 6.56, 819
"Pomelo", 31.91, 855
"Durazno", 160.53, 928
"Zanahoria", 33.88, 666
"Caqui", 833.17, 104
"Mandarina", 12.55, 900
"Papa", 17.40, 840
"Champignon", 3601.19, 96
"Lima", 1025.36, 206
"Manzana", 138.91, 1130
"Cereza", 1056.58, 202
"Lechuga", 44.17, 1062
"Ciruela", 980.09, 1062
"Apio", 55.94, 273
"Pera", 143.88, 800
"Lima", 1329.01, 184
"Mandarina", 22.24, 840
"Tomate", 763.58, 1008
"Mandarina", 19.18, 890
"Durazno", 161.40, 704
"Higo", 2518.15, 92
"Berenjena", 48.73, 594
"Lima", 1009.82, 240
"Caqui", 818.02, 100
"Kiwi", 471.27, 428
"Limon", 327.19, 637
"Durazno", 131.46, 824
"Rabanito", 243.49, 276
"Lechuga", 37.03, 990
"Calabaza", 17.24, 928
"Sandía", 62.30, 936
"Lima", 1420.99, 218
"Mandarina", 15.09, 1080
"TomCherry", 557.79, 206
"Cereza", 1033.93, 218
"Durazno", 270.67, 872
"Espárrago", 672.62, 180
"Rabanito", 217.59, 258
"Choclo", 52.87, 336
"Uva", 682.84, 309
"Frambuesa", 1984.86, 88
"Palta", 1118.41, 392
"Lima", 1023.31, 196
"Pomelo", 51.61, 756
"Tomate", 742.01, 1026
"Cebolla", 72.47, 792
"Uva", 655.84, 252
"Higo", 2488.99, 85
"Ajo", 876.60, 88
"Naranja", 11.04, 840
"Choclo", 56.74, 324
"Kinoto", 36.32, 162
"Lima", 1167.46, 186
"Repollo", 5.09, 707
"Choclo", 55.29, 261
"Alcachofa", 125.08, 252
"Palta", 493.31, 445
"Repollo", 9.49, 805
"Sandía", 60.21, 999
"Caqui", 884.28, 113
"Palta", 429.41, 470
"Repollo", 5.35, 693
"Berenjena", 40.43, 600
"Frambuesa", 2008.93, 111
"Lima", 1217.56, 224
"Uva", 699.48, 309
"Durazno", 158.67, 704
"Caqui", 794.78, 94
"Apio", 51.28, 273
"Uva", 703.74, 264
"Cereza", 978.81, 182
"Melón", 111.02, 328
"Choclo", 69.13, 285
"Repollo", 1.15, 567
"Uva", 654.82, 243
"Naranja", 8.63, 1060
"Manzana", 131.05, 810
"Tomate", 826.76, 1062
"Ciruela", 955.48, 855
"Tomate", 827.41, 810
"Manzana", 149.04, 980
"Espárrago", 659.17, 206
"Higo", 2443.92, 111
"Cereza", 1005.81, 236
"Palta", 501.05, 525
"Cebolla", 67.39, 952
"Naranja", 20.60, 1160
"Batata", 22.13, 1000
"Zuccini", 102.43, 684
"Ciruela", 993.22, 720
"Batata", 20.67, 1110
"Banana", 58.09, 1030
"Lima", 1213.08, 204
"Calabaza", 22.72, 696
"Pera", 137.12, 1160
"Tomate", 715.43, 1080
"Uva", 693.01, 252
"Uva", 713.01, 264
"Kiwi", 433.66, 412
"Lima", 1197.93, 198
"Brócoli", 339.90, 396
"Champignon", 3579.74, 92
"Morrón", 2954.80, 492
"Papa", 20.16, 1070
"Coliflor", 32.97, 525
"Naranja", 13.03, 900
"Palta", 1126.74, 384
"Manzana", 161.51, 1170
"Lima", 1270.07, 190
"Lechuga", 42.05, 972
"Tomate", 764.60, 936
"Melón", 101.91, 332
"Coliflor", 27.67, 545
"Ciruela", 922.05, 981
"Pomelo", 49.50, 864
"Cebolla", 77.02, 904
"Champignon", 3679.62, 120
"Brócoli", 343.66, 428
"Zanahoria", 30.26, 660
"Sandía", 66.70, 972
"Papa", 8.47, 900
"Pepino", 43.17, 510
"Uva", 691.83, 270
"Durazno", 131.78, 736
"Berenjena", 55.24, 612
"Caqui", 811.39, 100
"Espárrago", 616.60, 224
"Calabaza", 22.10, 832
"Mandarina", 21.75, 1080
"Rabanito", 235.57, 342
"Lima", 1087.56, 210
"Lima", 1387.18, 234
"Morrón", 2937.63, 498
"Cebolla", 53.32, 952
"Zuccini", 85.11, 534
"Palta", 516.23, 505
"Lima", 1220.94, 196
"Ciruela", 986.07, 837
"Uva", 722.79, 306
"Champignon", 3594.42, 96
"Palta", 1123.10, 460
"Champignon", 3604.73, 112
"Kiwi", 457.05, 336
"Cebolla", 68.19, 728
"Naranja", 12.12, 1110
"Palta", 1126.68, 380
"Palta", 524.17, 580
"Cereza", 1077.68, 196
"Naranja", 9.72, 820
"Lima", 1036.54, 210
"Cereza", 1031.72, 174
"Frambuesa", 2056.86, 111
"Limon", 285.73, 805
"Apio", 55.69, 309
"Batata", 25.27, 970
"Naranja", 23.32, 810
"Zuccini", 88.86, 546
"Higo", 2517.96, 99
"Cebolla", 83.64, 840
"Mandarina", 25.80, 800
"Batata", 18.01, 870
"Limon", 337.33, 833
"Lechuga", 48.65, 801
"Manzana", 123.41, 1040
"Espárrago", 614.48, 166
"Caqui", 835.63, 92
"Pera", 127.55, 1120
"Choclo", 62.98, 240
"Repollo", 6.65, 623
"Higo", 2508.96, 82
"Lechuga", 30.30, 738
"Durazno", 163.45, 736
"Durazno", 172.68, 960
"Brócoli", 368.99, 376
"Berenjena", 58.00, 486
"Lima", 1353.59, 218
"Durazno", 268.98, 744
"Limon", 320.25, 658
"Brócoli", 342.66, 344
